date,portfolio_value,cash_flow,holdings_value,signal
2024-01-01,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-01-02,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-01-03,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-01-04,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-01-05,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-01-06,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-01-07,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-01-08,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-01-09,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-01-10,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-01-11,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-01-12,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-01-13,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-01-14,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-01-15,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-01-16,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-01-17,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-01-18,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-01-19,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-01-20,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-01-21,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-01-22,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-01-23,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-01-24,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-01-25,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-01-26,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-01-27,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-01-28,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-01-29,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-01-30,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-01-31,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-02-01,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-02-02,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-02-03,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-02-04,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-02-05,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-02-06,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-02-07,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-02-08,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-02-09,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-02-10,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-02-11,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-02-12,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-02-13,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-02-14,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-02-15,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-02-16,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-02-17,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-02-18,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-02-19,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-02-20,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-02-21,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-02-22,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-02-23,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-02-24,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-02-25,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-02-26,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-02-27,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-02-28,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-02-29,10000.0,0.0,0.0,hold: 数据不足，累积期
2024-03-01,8500.0,1500.0,0.0,buy: 金叉趋势中
2024-03-02,8516.476168354164,1500.0,1516.4761683541642,buy: 金叉趋势中
2024-03-03,8486.272026194478,1500.0,2986.272026194477,buy: 金叉趋势中
2024-03-04,8429.393952248654,1500.0,4429.393952248655,buy: 金叉趋势中
2024-03-05,8426.193723960601,1500.0,5926.193723960602,buy: 金叉趋势中
2024-03-06,8440.045053628237,1500.0,7440.045053628237,buy: 金叉趋势中
2024-03-07,10042.38712224558,1500.0,9042.38712224558,buy: 金叉趋势中
