customer_id	credit_score	country	gender	age	tenure	fund_balance	products_number	lst_entrust_direction	lst_entrust_type	estimated_salary	concentrated_month_avg_asset	margin_month_avg_asset	public_fund_month_avg_asset	from_lst_login_days	app_version	churn
15634602	619	France	Female	42	2	0	1	BUY	正常委托	101348.88	500000	200000	100000	42	5.2.1	1
15647311	608	Spain	Female	41	1	83807.86	1	SELL	获利了结	112542.58	800000	300000	150000	30	5.2.1	0
15619304	502	France	Female	42	8	159660.8	3	BUY	分批买入	113931.57	1200000	500000	200000	43	5.2.1	1
15701354	699	France	Female	39	1	0	2	BUY	长期持有	93826.63	300000	100000	50000	31	5.2.0	0
15737888	850	Spain	Female	43	2	125510.82	1	SELL	撤单	79084.1	1500000	600000	250000	32	5.2.0	0
15574012	645	Spain	Male	44	8	113755.78	2	BUY	正常委托	149756.71	700000	250000	120000	46	5.2.0	1
15592531	822	France	Male	50	7	0	2	SELL	止损	10062.8	900000	350000	180000	33	5.1.9	0
15656148	376	Germany	Female	29	4	115046.74	4	BUY	等待成交	119346.88	400000	150000	80000	44	5.1.9	1
15792365	501	France	Male	44	4	142051.07	2	SELL	正常委托	74940.5	1100000	450000	220000	30	5.2.1	0
15592389	684	France	Male	27	2	134603.88	1	BUY	部分成交	71725.73	600000	200000	100000	31	5.2.1	0
15767821	528	France	Male	31	6	102016.72	2	BUY	正常委托	80181.12	520000	210000	105000	32	5.2.1	0
15737173	497	Spain	Male	24	3	0	2	SELL	正常委托	76390.01	820000	310000	155000	33	5.2.1	0
15632264	476	France	Female	34	10	0	2	BUY	等待成交	26260.98	1230000	510000	205000	24	5.1.8	0
15691483	549	France	Female	25	5	0	2	SELL	正常委托	190857.79	310000	105000	52000	32	5.1.8	0
15600882	635	Spain	Female	35	7	0	2	BUY	正常委托	65951.65	1520000	610000	255000	33	5.2.0	0
15643966	616	Germany	Male	45	3	143129.41	2	SELL	撤单	64327.26	710000	255000	125000	33	5.2.0	0
15737452	653	Germany	Male	58	1	132602.88	1	BUY	正常委托	5097.67	910000	355000	185000	31	5.2.1	1
15788218	549	Spain	Female	24	9	0	2	SELL	正常委托	14406.41	410000	155000	85000	33	5.2.1	0
15661507	587	Spain	Male	45	6	0	1	BUY	正常委托	158684.81	1110000	460000	225000	33	5.2.1	0
15568982	726	France	Female	24	6	0	2	SELL	正常委托	54724.03	610000	205000	105000	33	5.2.1	0
15577657	732	France	Male	41	8	0	2	BUY	正常委托	170886.17	530000	220000	110000	33	5.1.9	0
15597945	636	Spain	Female	32	8	0	2	SELL	减持	138555.46	830000	320000	160000	33	5.1.9	0
15699309	510	Spain	Female	38	4	0	1	BUY	等待成交	118913.53	1240000	520000	210000	42	5.2.1	1
15725737	669	France	Male	46	3	0	2	SELL	正常委托	8487.75	320000	110000	55000	43	5.2.1	0
15625047	846	France	Female	38	5	0	1	BUY	正常委托	187616.16	1530000	620000	260000	46	5.2.0	0
15738191	577	France	Male	25	3	0	2	SELL	正常委托	124508.29	720000	260000	130000	44	5.2.0	0
15736816	756	Germany	Male	36	2	136815.64	1	BUY	重新买入	170041.95	920000	360000	190000	31	5.1.9	0
15700772	571	France	Male	44	9	0	2	SELL	正常委托	38433.35	420000	160000	90000	33	5.1.9	0
15728693	574	Germany	Female	43	3	141349.43	1	BUY	正常委托	100187.43	1120000	470000	230000	33	5.2.1	0
15656300	411	France	Male	29	0	59697.17	2	SELL	正常委托	53483.21	620000	210000	110000	33	5.2.1	0
15589475	591	Spain	Female	39	3	0	3	BUY	正常委托	140469.38	540000	230000	115000	50	5.2.1	1
15706552	533	France	Male	36	7	85311.7	1	SELL	正常委托	156731.91	840000	330000	165000	33	5.2.1	0
15750181	553	Germany	Male	41	9	110112.54	2	BUY	正常委托	81898.81	1250000	530000	215000	33	5.1.8	0
15659428	520	Spain	Female	42	6	0	2	SELL	正常委托	34410.55	330000	115000	60000	33	5.1.8	0
15732963	722	Spain	Female	29	9	0	2	BUY	正常委托	142033.07	1540000	630000	265000	33	5.2.0	0
15794171	475	France	Female	45	0	134264.04	1	SELL	撤单	27822.99	730000	270000	135000	90	5.2.0	1
15788448	490	Spain	Male	31	3	145260.23	1	BUY	正常委托	114066.77	930000	370000	195000	33	5.2.1	0
15729599	804	Spain	Male	33	7	76548.6	1	SELL	正常委托	98453.45	430000	170000	95000	33	5.2.1	0
15717426	850	France	Male	36	7	0	1	BUY	正常委托	40812.9	1130000	480000	235000	33	5.1.9	0
15585768	582	Germany	Male	41	6	70349.48	2	SELL	正常委托	178074.04	630000	220000	115000	33	5.1.9	0
15619360	472	Spain	Male	40	4	0	1	BUY	正常委托	70154.22	550000	240000	120000	33	5.2.1	0
15738148	465	France	Female	51	8	122522.32	1	SELL	正常委托	181297.65	850000	340000	170000	100	5.2.1	1
